userid	timestamp
5158509	2011-05-06T03:58:09Z
5158509	2011-05-06T03:54:54Z
5158509	2011-05-06T03:53:00Z
4999644	2011-05-05T22:14:10Z
4999644	2011-05-04T22:17:10Z
4999644	2011-05-04T21:51:10Z
0	2011-05-04T06:48:53Z
10087387	2011-05-02T17:40:09Z
0	2011-05-02T05:51:50Z
10087387	2011-04-29T12:58:25Z
0	2011-04-29T12:24:17Z
10087387	2011-04-28T19:39:06Z
0	2011-04-28T19:34:04Z
0	2011-04-28T13:15:32Z
0	2011-04-28T13:06:43Z
0	2011-04-28T13:05:17Z
0	2011-04-28T13:03:30Z
13181792	2011-04-28T04:25:34Z
4358889	2011-04-27T21:08:21Z
0	2011-04-27T20:10:53Z
0	2011-04-27T18:40:06Z
0	2011-04-27T14:52:19Z
1749684	2011-04-27T13:47:33Z
1588494	2011-04-27T13:45:51Z
0	2011-04-26T07:36:56Z
8334148	2011-04-26T02:42:49Z
0	2011-04-25T10:56:55Z
4358889	2011-04-24T15:44:57Z
0	2011-04-24T14:48:49Z
0	2011-04-23T14:05:44Z
14426994	2011-04-20T10:16:17Z
563447	2011-04-19T10:50:30Z
0	2011-04-19T03:04:32Z
0	2011-04-19T01:09:04Z
11292982	2011-04-18T15:43:17Z
13414372	2011-04-18T13:59:01Z
0	2011-04-18T10:30:18Z
138746	2011-04-18T02:15:06Z
9083504	2011-04-17T08:15:03Z
0	2011-04-16T21:11:36Z
0	2011-04-16T21:10:02Z
5406276	2011-04-16T20:27:36Z
0	2011-04-15T17:35:26Z
87591	2011-04-15T08:39:44Z
0	2011-04-15T08:34:40Z
5195920	2011-04-14T18:21:36Z
5195920	2011-04-14T18:16:29Z
0	2011-04-14T16:19:24Z
0	2011-04-14T12:42:16Z
0	2011-04-14T12:24:46Z
0	2011-04-14T12:21:39Z
0	2011-04-10T06:34:34Z
0	2011-04-09T19:03:12Z
0	2011-04-09T19:01:29Z
0	2011-04-08T22:12:40Z
0	2011-04-08T02:47:00Z
7390477	2011-04-02T18:43:37Z
10406968	2011-03-21T14:26:22Z
11380696	2011-03-20T09:50:11Z
1808194	2011-03-20T03:34:10Z
0	2011-03-20T02:15:47Z
6374305	2011-03-16T07:33:26Z
0	2011-03-16T06:26:52Z
4628406	2011-03-14T08:28:09Z
0	2011-03-11T07:48:03Z
0	2011-03-08T00:06:17Z
7328338	2011-03-06T09:21:08Z
210455	2011-03-05T22:11:39Z
8698327	2011-03-04T14:29:31Z
0	2011-03-04T14:25:33Z
0	2011-03-04T12:33:07Z
0	2011-03-04T12:31:46Z
224348	2011-03-04T06:12:40Z
14077852	2011-03-04T02:24:54Z
1098639	2011-03-03T18:57:03Z
0	2011-03-03T18:47:32Z
0	2011-03-03T18:44:19Z
3465420	2011-03-03T18:21:46Z
0	2011-03-03T18:02:05Z
0	2011-03-03T17:57:29Z
107635	2011-03-03T17:50:15Z
107635	2011-03-03T17:36:40Z
0	2011-03-03T17:30:53Z
0	2011-03-03T15:20:48Z
12163807	2011-02-28T19:26:29Z
597345	2011-02-25T17:18:39Z
13119561	2011-02-15T15:54:01Z
7328338	2011-02-12T16:47:54Z
6454287	2011-02-10T00:22:02Z
3327483	2011-02-04T16:49:16Z
4358889	2011-02-03T18:34:21Z
13075396	2011-02-03T17:21:10Z
0	2011-01-31T20:12:38Z
0	2011-01-31T04:38:15Z
7320905	2011-01-27T16:03:57Z
9544358	2011-01-27T15:53:41Z
0	2011-01-25T13:07:03Z
0	2011-01-25T13:05:52Z
5734580	2011-01-15T06:29:44Z
0	2011-01-15T06:27:24Z
597345	2011-01-13T17:28:44Z
12499444	2011-01-11T10:37:40Z
4358889	2011-01-11T01:17:19Z
2164608	2011-01-10T23:27:08Z
3412883	2011-01-06T22:36:40Z
6374305	2011-01-06T18:29:59Z
3412883	2011-01-06T15:06:20Z
577301	2011-01-06T15:00:06Z
0	2011-01-06T02:30:49Z
7328338	2010-12-24T01:39:39Z
12929566	2010-12-20T20:52:19Z
4358889	2010-12-16T22:55:08Z
0	2010-12-16T21:57:27Z
7328338	2010-12-12T10:19:48Z
4871029	2010-11-30T01:02:46Z
0	2010-11-30T01:01:28Z
0	2010-11-20T18:54:58Z
0	2010-11-10T00:15:04Z
1593792	2010-11-04T22:47:12Z
